title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
The Family Man,60000000,0,-60000000,17.909855136853043,0.0,2000,Comedy,125.0,6.5,en,19.705489
RED,58000000,71664962,13664962,17.87595358575207,18.087512525048243,2010,Action,111.0,6.6,en,41.430245
Any Given Sunday,55000000,100230832,45230832,17.822843761378564,18.42298641385148,1999,Drama,163.0,6.8,en,23.127561
The Horse Whisperer,60000000,186883563,126883563,17.909855136853043,19.04599632848393,1998,Drama,170.0,6.7,en,12.867352
Collateral,65000000,217764291,152764291,17.989897843244528,19.19892380644542,2004,Drama,120.0,7.0,en,44.815022
The Scorpion King,60000000,165333180,105333180,17.909855136853043,18.923473274649698,2002,Action,92.0,5.3,en,37.537093
Ladder 49,60000000,74541707,14541707,17.909855136853043,18.126869365624614,2004,Drama,115.0,6.2,en,10.99991
Jack Reacher,60000000,218340595,158340595,17.909855136853043,19.201566768500314,2012,Crime,130.0,6.3,en,56.868399
Deep Blue Sea,60000000,73648228,13648228,17.909855136853043,18.11481065441951,1999,Action,105.0,5.6,en,22.991269
This Is It,60000000,0,-60000000,17.909855136853043,0.0,2009,Music,111.0,6.7,en,15.798622
Contagion,60000000,137551594,77551594,17.909855136853043,18.73950964105098,2011,Drama,106.0,6.2,en,38.820858
Kangaroo Jack,0,0,0,0.0,0.0,2003,Comedy,89.0,4.3,en,10.292864
Coraline,60000000,124596398,64596398,17.909855136853043,18.64059026341846,2009,Animation,100.0,7.3,en,51.146047
The Happening,60000000,163403799,103403799,17.909855136853043,18.911734995933717,2008,Thriller,91.0,4.9,en,20.501582
Man on Fire,70000000,130293714,60293714,18.064005814299346,18.685301806089065,2004,Action,146.0,7.3,en,45.299089
The Shaggy Dog,50000000,61112916,11112916,17.72753358339242,17.928233809327043,2006,Comedy,98.0,4.5,en,4.280619
Starsky & Hutch,60000000,170268750,110268750,17.909855136853043,18.952888634961454,2004,Comedy,101.0,5.6,en,28.848842
Jingle All the Way,60000000,129832389,69832389,17.909855136853043,18.681754868855283,1996,Family,89.0,5.5,en,22.501041
Hellboy,66000000,99318987,33318987,18.005165315142214,18.413847329265177,2004,Fantasy,122.0,6.5,en,47.479755
A Civil Action,70000000,56702901,-13297099,18.064005814299346,17.85333594904609,1998,Drama,115.0,6.1,en,10.147321
ParaNorman,60000000,107139399,47139399,17.909855136853043,18.48964134825207,2012,Family,90.0,6.7,en,39.539045
The Jackal,60000000,159330280,99330280,17.909855136853043,18.88648984470036,1997,Action,124.0,6.1,en,19.747459
Paycheck,60000000,96269812,36269812,17.909855136853043,18.38266535929875,2003,Action,119.0,5.9,en,29.018826
Up Close & Personal,60000000,0,-60000000,17.909855136853043,0.0,1996,Drama,119.0,5.9,en,4.801849
The Tale of Despereaux,60000000,50877145,-9122855,17.909855136853043,17.744924382655586,2008,Adventure,93.0,5.8,en,16.493576
The Tuxedo,0,0,0,0.0,0.0,2002,Thriller,98.0,5.3,en,21.549232
